id_,voivodeship,county,population
t0201,dolnośląskie,bolesławiecki,90103
t0202,dolnośląskie,dzierżoniowski,100813
t0203,dolnośląskie,głogowski,89102
t0204,dolnośląskie,górowski,34870
t0205,dolnośląskie,jaworski,50116
t0206,dolnośląskie,jeleniogórski,63591
t0207,dolnośląskie,kamiennogórski,43239
t0208,dolnośląskie,kłodzki,157996
t0209,dolnośląskie,legnicki,55166
t0210,dolnośląskie,lubański,54254
t0211,dolnośląskie,lubiński,106150
t0212,dolnośląskie,lwówecki,45925
t0213,dolnośląskie,milicki,36999
t0214,dolnośląskie,oleśnicki,107269
t0215,dolnośląskie,oławski,76752
t0216,dolnośląskie,polkowicki,63065
t0217,dolnośląskie,strzeliński,43570
t0218,dolnośląskie,średzki,55079
t0219,dolnośląskie,świdnicki,156921
t0220,dolnośląskie,trzebnicki,85253
t0221,dolnośląskie,wałbrzyski,55611
t0222,dolnośląskie,wołowski,46818
t0223,dolnośląskie,wrocławski,151385
t0224,dolnośląskie,ząbkowicki,64802
t0225,dolnośląskie,zgorzelecki,89188
t0226,dolnośląskie,złotoryjski,43490
t0261,dolnośląskie,Jelenia Góra,79061
t0262,dolnośląskie,Legnica,99350
t0264,dolnośląskie,Wrocław,642869
t0265,dolnośląskie,Wałbrzych,111356
t0401,kujawsko-pomorskie,aleksandrowski,55066
t0402,kujawsko-pomorskie,brodnicki,79097
t0403,kujawsko-pomorskie,bydgoski,118683
t0404,kujawsko-pomorskie,chełmiński,51925
t0405,kujawsko-pomorskie,golubsko-dobrzyński,45018
t0406,kujawsko-pomorskie,grudziądzki,40238
t0407,kujawsko-pomorskie,inowrocławski,159814
t0408,kujawsko-pomorskie,lipnowski,65750
t0409,kujawsko-pomorskie,mogileński,45619
t0410,kujawsko-pomorskie,nakielski,86311
t0411,kujawsko-pomorskie,radziejowski,40321
t0412,kujawsko-pomorskie,rypiński,43486
t0413,kujawsko-pomorskie,sępoleński,41056
t0414,kujawsko-pomorskie,świecki,98952
t0415,kujawsko-pomorskie,toruński,108345
t0416,kujawsko-pomorskie,tucholski,48383
t0417,kujawsko-pomorskie,wąbrzeski,34194
t0418,kujawsko-pomorskie,włocławski,86037
t0419,kujawsko-pomorskie,żniński,70190
t0461,kujawsko-pomorskie,Bydgoszcz,348190
t0462,kujawsko-pomorskie,Grudziądz,94368
t0463,kujawsko-pomorskie,Toruń,201447
t0464,kujawsko-pomorskie,Włocławek,109883
t0601,lubelskie,bialski,110772
t0602,lubelskie,biłgorajski,100919
t0603,lubelskie,chełmski,78014
t0604,lubelskie,hrubieszowski,62847
t0605,lubelskie,janowski,45709
t0606,lubelskie,krasnostawski,63258
t0607,lubelskie,kraśnicki,95348
t0608,lubelskie,lubartowski,88352
t0609,lubelskie,lubelski,155566
t0610,lubelskie,łęczyński,57331
t0611,lubelskie,łukowski,106816
t0612,lubelskie,opolski,59208
t0613,lubelskie,parczewski,34711
t0614,lubelskie,puławski,113173
t0615,lubelskie,radzyński,58858
t0616,lubelskie,rycki,55988
t0617,lubelskie,świdnicki,71840
t0618,lubelskie,tomaszowski,82762
t0619,lubelskie,włodawski,38353
t0620,lubelskie,zamojski,106122
t0661,lubelskie,Biała Podlaska,57170
t0662,lubelskie,Chełm,61932
t0663,lubelskie,Lublin,339784
t0664,lubelskie,Zamość,63437
t0801,lubuskie,gorzowski,71836
t0802,lubuskie,krośnieński,54829
t0803,lubuskie,międzyrzecki,57565
t0804,lubuskie,nowosolski,86156
t0805,lubuskie,słubicki,46929
t0806,lubuskie,strzelecko-drezdenecki,49009
t0807,lubuskie,sulęciński,35193
t0808,lubuskie,świebodziński,55790
t0809,lubuskie,zielonogórski,75559
t0810,lubuskie,żagański,78953
t0811,lubuskie,żarski,96111
t0812,lubuskie,wschowski,38831
t0861,lubuskie,Gorzów Wielkopolski,123609
t0862,lubuskie,Zielona Góra,141222
t1001,łódzkie,bełchatowski,112779
t1002,łódzkie,kutnowski,96569
t1003,łódzkie,łaski,49918
t1004,łódzkie,łęczycki,49747
t1005,łódzkie,łowicki,78099
t1006,łódzkie,łódzki wschodni,72179
t1007,łódzkie,opoczyński,76106
t1008,łódzkie,pabianicki,119291
t1009,łódzkie,pajęczański,51220
t1010,łódzkie,piotrkowski,91353
t1011,łódzkie,poddębicki,41108
t1012,łódzkie,radomszczański,112644
t1013,łódzkie,rawski,48592
t1014,łódzkie,sieradzki,117674
t1015,łódzkie,skierniewicki,38174
t1016,łódzkie,tomaszowski,116519
t1017,łódzkie,wieluński,76256
t1018,łódzkie,wieruszowski,42105
t1019,łódzkie,zduńskowolski,66380
t1020,łódzkie,zgierski,166113
t1021,łódzkie,brzeziński,30833
t1061,łódzkie,Łódź,679941
t1062,łódzkie,Piotrków Trybunalski,73090
t1063,łódzkie,Skierniewice,48089
t1201,małopolskie,bocheński,106858
t1202,małopolskie,brzeski,93201
t1203,małopolskie,chrzanowski,124536
t1204,małopolskie,dąbrowski,59174
t1205,małopolskie,gorlicki,108886
t1206,małopolskie,krakowski,279239
t1207,małopolskie,limanowski,131764
t1208,małopolskie,miechowski,48818
t1209,małopolskie,myślenicki,127600
t1210,małopolskie,nowosądecki,216796
t1211,małopolskie,nowotarski,191782
t1212,małopolskie,olkuski,111217
t1213,małopolskie,oświęcimski,153486
t1214,małopolskie,proszowicki,43222
t1215,małopolskie,suski,84232
t1216,małopolskie,tarnowski,201497
t1217,małopolskie,tatrzański,68072
t1218,małopolskie,wadowicki,160006
t1219,małopolskie,wielicki,129136
t1261,małopolskie,Kraków,779115
t1262,małopolskie,Nowy Sącz,83794
t1263,małopolskie,Tarnów,108470
t1401,mazowieckie,białobrzeski,33410
t1402,mazowieckie,ciechanowski,89423
t1403,mazowieckie,garwoliński,108981
t1404,mazowieckie,gostyniński,44899
t1405,mazowieckie,grodziski,95963
t1406,mazowieckie,grójecki,98311
t1407,mazowieckie,kozienicki,59997
t1408,mazowieckie,legionowski,118585
t1409,mazowieckie,lipski,33874
t1410,mazowieckie,łosicki,30774
t1411,mazowieckie,makowski,44892
t1412,mazowieckie,miński,154526
t1413,mazowieckie,mławski,72626
t1414,mazowieckie,nowodworski,79378
t1415,mazowieckie,ostrołęcki,88654
t1416,mazowieckie,ostrowski,72328
t1417,mazowieckie,otwocki,124352
t1418,mazowieckie,piaseczyński,188281
t1419,mazowieckie,płocki,110952
t1420,mazowieckie,płoński,87054
t1421,mazowieckie,pruszkowski,165912
t1422,mazowieckie,przasnyski,52511
t1423,mazowieckie,przysuski,41455
t1424,mazowieckie,pułtuski,51824
t1425,mazowieckie,radomski,152291
t1426,mazowieckie,siedlecki,81362
t1427,mazowieckie,sierpecki,51954
t1428,mazowieckie,sochaczewski,85045
t1429,mazowieckie,sokołowski,53804
t1430,mazowieckie,szydłowiecki,39672
t1432,mazowieckie,warszawski zachodni,118613
t1433,mazowieckie,węgrowski,65822
t1434,mazowieckie,wołomiński,249299
t1435,mazowieckie,wyszkowski,74220
t1436,mazowieckie,zwoleński,36166
t1437,mazowieckie,żuromiński,38515
t1438,mazowieckie,żyrardowski,75749
t1461,mazowieckie,Ostrołęka,52055
t1462,mazowieckie,Płock,119425
t1463,mazowieckie,Radom,211371
t1464,mazowieckie,Siedlce,78185
t1465,mazowieckie,Warszawa,1790658
t1601,opolskie,brzeski,89804
t1602,opolskie,głubczycki,45552
t1603,opolskie,kędzierzyńsko-kozielski,93880
t1604,opolskie,kluczborski,65470
t1605,opolskie,krapkowicki,63747
t1606,opolskie,namysłowski,42634
t1607,opolskie,nyski,135948
t1608,opolskie,oleski,64293
t1609,opolskie,opolski,123726
t1610,opolskie,prudnicki,55237
t1611,opolskie,strzelecki,74300
t1661,opolskie,Opole,128035
t1801,podkarpackie,bieszczadzki,21664
t1802,podkarpackie,brzozowski,65567
t1803,podkarpackie,dębicki,135299
t1804,podkarpackie,jarosławski,120247
t1805,podkarpackie,jasielski,113450
t1806,podkarpackie,kolbuszowski,62246
t1807,podkarpackie,krośnieński,112283
t1808,podkarpackie,leżajski,69370
t1809,podkarpackie,lubaczowski,55217
t1810,podkarpackie,łańcucki,81049
t1811,podkarpackie,mielecki,136660
t1812,podkarpackie,niżański,66589
t1813,podkarpackie,przemyski,74061
t1814,podkarpackie,przeworski,78362
t1815,podkarpackie,ropczycko-sędziszowski,74515
t1816,podkarpackie,rzeszowski,169438
t1817,podkarpackie,sanocki,94385
t1818,podkarpackie,stalowowolski,106037
t1819,podkarpackie,strzyżowski,61386
t1820,podkarpackie,tarnobrzeski,52965
t1821,podkarpackie,leski,26441
t1861,podkarpackie,Krosno,46291
t1862,podkarpackie,Przemyśl,60689
t1863,podkarpackie,Rzeszów,196208
t1864,podkarpackie,Tarnobrzeg,46745
t2001,podlaskie,augustowski,58068
t2002,podlaskie,białostocki,149611
t2003,podlaskie,bielski,54353
t2004,podlaskie,grajewski,47210
t2005,podlaskie,hajnowski,42610
t2006,podlaskie,kolneński,38057
t2007,podlaskie,łomżyński,50943
t2008,podlaskie,moniecki,40412
t2009,podlaskie,sejneński,19914
t2010,podlaskie,siemiatycki,44193
t2011,podlaskie,sokólski,66686
t2012,podlaskie,suwalski,35674
t2013,podlaskie,wysokomazowiecki,56860
t2014,podlaskie,zambrowski,43505
t2061,podlaskie,Białystok,297554
t2062,podlaskie,Łomża,62945
t2063,podlaskie,Suwałki,69758
t2201,pomorskie,bytowski,79198
t2202,pomorskie,chojnicki,97645
t2203,pomorskie,człuchowski,56085
t2204,pomorskie,gdański,118489
t2205,pomorskie,kartuski,139397
t2206,pomorskie,kościerski,72688
t2207,pomorskie,kwidzyński,83174
t2208,pomorskie,lęborski,66115
t2209,pomorskie,malborski,63470
t2210,pomorskie,nowodworski,35580
t2211,pomorskie,pucki,86684
t2212,pomorskie,słupski,98686
t2213,pomorskie,starogardzki,128186
t2214,pomorskie,tczewski,115728
t2215,pomorskie,wejherowski,217846
t2216,pomorskie,sztumski,41302
t2261,pomorskie,Gdańsk,470907
t2262,pomorskie,Gdynia,246348
t2263,pomorskie,Słupsk,90681
t2264,pomorskie,Sopot,35719
t2401,śląskie,będziński,148089
t2402,śląskie,bielski,165960
t2403,śląskie,cieszyński,178191
t2404,śląskie,częstochowski,134555
t2405,śląskie,gliwicki,115528
t2406,śląskie,kłobucki,84591
t2407,śląskie,lubliniecki,76451
t2408,śląskie,mikołowski,98990
t2409,śląskie,myszkowski,70880
t2410,śląskie,pszczyński,111539
t2411,śląskie,raciborski,108211
t2412,śląskie,rybnicki,78213
t2413,śląskie,tarnogórski,140519
t2414,śląskie,bieruńsko-lędziński,59776
t2415,śląskie,wodzisławski,157088
t2416,śląskie,zawierciański,117624
t2417,śląskie,żywiecki,152756
t2461,śląskie,Bielsko-Biała,170663
t2462,śląskie,Bytom,165263
t2463,śląskie,Chorzów,107807
t2464,śląskie,Częstochowa,220433
t2465,śląskie,Dąbrowa Górnicza,119373
t2466,śląskie,Gliwice,178603
t2467,śląskie,Jastrzębie-Zdrój,88743
t2468,śląskie,Jaworzno,91115
t2469,śląskie,Katowice,292774
t2470,śląskie,Mysłowice,74618
t2471,śląskie,Piekary Śląskie,55030
t2472,śląskie,Ruda Śląska,137360
t2473,śląskie,Rybnik,138098
t2474,śląskie,Siemianowice Śląskie,66841
t2475,śląskie,Sosnowiec,199974
t2476,śląskie,Świętochłowice,49557
t2477,śląskie,Tychy,127590
t2478,śląskie,Zabrze,172360
t2479,śląskie,Żory,62472
t2601,świętokrzyskie,buski,71596
t2602,świętokrzyskie,jędrzejowski,85379
t2603,świętokrzyskie,kazimierski,33619
t2604,świętokrzyskie,kielecki,211259
t2605,świętokrzyskie,konecki,79858
t2606,świętokrzyskie,opatowski,52089
t2607,świętokrzyskie,ostrowiecki,108964
t2608,świętokrzyskie,pińczowski,38926
t2609,świętokrzyskie,sandomierski,77017
t2610,świętokrzyskie,skarżyski,73991
t2611,świętokrzyskie,starachowicki,89576
t2612,świętokrzyskie,staszowski,71776
t2613,świętokrzyskie,włoszczowski,45059
t2661,świętokrzyskie,Kielce,194852
t2801,warmińsko-mazurskie,bartoszycki,57231
t2802,warmińsko-mazurskie,braniewski,41034
t2803,warmińsko-mazurskie,działdowski,65139
t2804,warmińsko-mazurskie,elbląski,57211
t2805,warmińsko-mazurskie,ełcki,91560
t2806,warmińsko-mazurskie,giżycki,56565
t2807,warmińsko-mazurskie,iławski,92879
t2808,warmińsko-mazurskie,kętrzyński,62283
t2809,warmińsko-mazurskie,lidzbarski,41180
t2810,warmińsko-mazurskie,mrągowski,49762
t2811,warmińsko-mazurskie,nidzicki,32857
t2812,warmińsko-mazurskie,nowomiejski,43822
t2813,warmińsko-mazurskie,olecki,34148
t2814,warmińsko-mazurskie,olsztyński,126781
t2815,warmińsko-mazurskie,ostródzki,104151
t2816,warmińsko-mazurskie,piski,56135
t2817,warmińsko-mazurskie,szczycieński,69376
t2818,warmińsko-mazurskie,gołdapski,26689
t2819,warmińsko-mazurskie,węgorzewski,22638
t2861,warmińsko-mazurskie,Elbląg,119317
t2862,warmińsko-mazurskie,Olsztyn,171979
t3001,wielkopolskie,chodzieski,47055
t3002,wielkopolskie,czarnkowsko-trzcianecki,86990
t3003,wielkopolskie,gnieźnieński,145418
t3004,wielkopolskie,gostyński,75908
t3005,wielkopolskie,grodziski,51893
t3006,wielkopolskie,jarociński,71563
t3007,wielkopolskie,kaliski,83026
t3008,wielkopolskie,kępiński,56451
t3009,wielkopolskie,kolski,86727
t3010,wielkopolskie,koniński,130053
t3011,wielkopolskie,kościański,79183
t3012,wielkopolskie,krotoszyński,77274
t3013,wielkopolskie,leszczyński,57201
t3014,wielkopolskie,międzychodzki,36751
t3015,wielkopolskie,nowotomyski,75543
t3016,wielkopolskie,obornicki,59825
t3017,wielkopolskie,ostrowski,161581
t3018,wielkopolskie,ostrzeszowski,55500
t3019,wielkopolskie,pilski,136112
t3020,wielkopolskie,pleszewski,63014
t3021,wielkopolskie,poznański,399272
t3022,wielkopolskie,rawicki,60262
t3023,wielkopolskie,słupecki,59077
t3024,wielkopolskie,szamotulski,91664
t3025,wielkopolskie,średzki,58879
t3026,wielkopolskie,śremski,61425
t3027,wielkopolskie,turecki,83894
t3028,wielkopolskie,wągrowiecki,70233
t3029,wielkopolskie,wolsztyński,57446
t3030,wielkopolskie,wrzesiński,77994
t3031,wielkopolskie,złotowski,69433
t3061,wielkopolskie,Kalisz,100246
t3062,wielkopolskie,Konin,73522
t3063,wielkopolskie,Leszno,63505
t3064,wielkopolskie,Poznań,534813
t3201,zachodniopomorskie,białogardzki,47560
t3202,zachodniopomorskie,choszczeński,48243
t3203,zachodniopomorskie,drawski,57015
t3204,zachodniopomorskie,goleniowski,82421
t3205,zachodniopomorskie,gryficki,60277
t3206,zachodniopomorskie,gryfiński,81882
t3207,zachodniopomorskie,kamieński,46999
t3208,zachodniopomorskie,kołobrzeski,79438
t3209,zachodniopomorskie,koszaliński,66480
t3210,zachodniopomorskie,myśliborski,65638
t3211,zachodniopomorskie,policki,80652
t3212,zachodniopomorskie,pyrzycki,39336
t3213,zachodniopomorskie,sławieński,56134
t3214,zachodniopomorskie,stargardzki,120186
t3215,zachodniopomorskie,szczecinecki,77630
t3216,zachodniopomorskie,świdwiński,46724
t3217,zachodniopomorskie,wałecki,53039
t3218,zachodniopomorskie,łobeski,36696
t3261,zachodniopomorskie,Koszalin,107048
t3262,zachodniopomorskie,Szczecin,401907
t3263,zachodniopomorskie,Świnoujście,40888
